avg_rating,image,price,title,total_review
4.8,https://m.media-amazon.com/images/I/61516n58ymL.__AC_SX300_SY300_QL70_ML2_.jpg,219.00,Apple iPad 9.7-inch (6th Gen) A1954 (GSM Unlocked + Verizon) - 128GB / Silver (Renewed),9
3.8,https://m.media-amazon.com/images/I/61wYl1RtGOL.__AC_SY300_SX300_QL70_ML2_.jpg,79.98,"10 inch Android 11 Tablet,RAM 4GB ROM 64 GB with 128GB Expand, Octa Core Tablet,Google Certificated Tablet with IPS HD Touch Screen, 8MP Camera, 2.4G WiFi, BT, Long Battery Life(with Leather Case)",319
4.2,https://m.media-amazon.com/images/I/61+8BUgRyzL._AC_SY300_SX300_.jpg,98.00,"Apple iPad Air 2 MH2M2LL/A (64GB , Wi-Fi + 4G, Space Gray) VERSION (Renewed)",450
4.4,https://m.media-amazon.com/images/I/51Ke4dPP-kL.__AC_SX300_SY300_QL70_ML2_.jpg,165.00,"Apple iPad 9.7in 6th Generation WiFi + Cellular (32GB, Gold) (Renewed)",42
4.3,https://m.media-amazon.com/images/I/61deD07VqIL.__AC_SX300_SY300_QL70_ML2_.jpg,210.00,"2019 Apple iPad Air 3rd Gen (10.5-inch, Wi-Fi + Cellular, 64GB) - Space Gray (Renewed)",155
4,https://m.media-amazon.com/images/I/71xGW9-XZOL.__AC_SX300_SY300_QL70_ML2_.jpg,49.99,"Kids Tablet, 10 Inch Tablet for Kids, Android 12, 2+32GB(SD to 128GB), 1280x800 IPS HD Display, Parental Controls, Kid Contents Educational Tablet, Dual Camera, Shockproof Case with Stand, Pink",62
3.9,https://m.media-amazon.com/images/I/71-fR0GrBKL.__AC_SX300_SY300_QL70_ML2_.jpg,89.99,"2023 Newest Android 13 Tablet 10 Inch, 12GB RAM+128GB ROM/1TB Expandable Tablet PC, 2 in 1 Tablets with Keyboard, Quad-Core 2.0GHz CPU HD Screen, Google Certified 5G WiFi 6 BT 5.0, 8MP Camera Tableta",93
4.4,https://m.media-amazon.com/images/I/71cYMKoRqfL.__AC_SX300_SY300_QL70_ML2_.jpg,226.00,"Apple iPad Air 2 64GB, Wi-Fi and Cellular (Unlocked), 9.7inch Space Gray (Renewed)",72
4.5,https://m.media-amazon.com/images/I/71BVyi-KKKL.__AC_SX300_SY300_QL70_ML2_.jpg,154.13,"ALLDOCUBE Android 13 Tablet，16GB (8+8) RAM 256GB ROM 512GB Expandable Android Tablet，Helio G99 8-Core CPU,1920×1200 IPS in-Cell 8.4 inch Tablet iPlay 50 Mini Pro，5000mAh，5MP/13MP，4G LTE",91
4.3,https://m.media-amazon.com/images/I/51iiT0F+lHL._AC_SY300_SX300_.jpg,124.97,Apple Renewed iPad Air 2 - 64GB - Gold (Renewed),889
4.5,https://m.media-amazon.com/images/I/81I7brvPPeL.__AC_SX300_SY300_QL70_ML2_.jpg,219.00,Apple iPad Air 2 9.7in 64GB Cellular Unlocked + WiFi Tablet - Space Gray / Black - MH2M2LLAUS-cr (Renewed),62
4.5,https://m.media-amazon.com/images/I/61zxS-GzjZL._AC_SY300_SX300_.jpg,84.99,"Amazon Fire HD 8 Plus tablet, 8” HD Display, 64 GB, 30% faster processor, 3GB RAM, wireless charging, (2022 release), Gray","2,738"
4.3,https://m.media-amazon.com/images/I/61kXsWp8PTS.__AC_SX300_SY300_QL70_ML2_.jpg,454.99,"2018 Apple iPad Pro (12.9-inch, Wi-Fi, 64GB) - Space Gray (Renewed)",597
4.1,https://m.media-amazon.com/images/I/71AmYCt9RvL.__AC_SX300_SY300_QL70_ML2_.jpg,86.99,"Tablet for Kids Tablet 10 inch with Case Included, Tablet for Toddlers Tablet 10 inch Children Tablets for Kids Android Tablet 64GB with WiFi Dual Camera Learning Games for Boys Girls",70
